Question,Type,Options,Answer
"Berapa tahun pengalaman kerjamu sebagai Estimator Konstruksi?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years of experience do you have in the Facade Industry?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","0"
"How many years' experience do you have as a Product Owner?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Which of the following issue and bug tracking software do you have experience with?","checklist","Team Foundation Server (TFS) | Kayako | ClearQuest | JIRA | Wrike | SysAid | Pivotal Tracker | Bugzilla | HP Quality Centre | FogBugz | Trac | Rational Team Concert | None of these","JIRA"
"How many years' experience do you have as an Electrical Design Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Civil and Structural Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu di Industri Minyak Dan Gas?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"Berapa tahun pengalaman yang kamu miliki di bidang Teknik Konstruksi Sipil?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"How many years of Offshore Engineering experience do you have?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years of Offshore Engineering Design experience do you have?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as a Production Engineering Supervisor?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a quantity surveyor?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years of project management experience do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2"
"How many years' experience do you have as a Control Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a BMS Heating, Venting and Air Conditioning Controls Technician?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as an Automation Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an Operations Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an Engineering Project Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"How would you rate your Mandarin language skills?","checklist","Speaks proficiently in a professional setting | Writes proficiently in a professional setting | Limited proficiency","Speaks proficiently in a professional setting"
"How many years' experience do you have as a Mining Consultant?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Solutions Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Software Security Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"How many years' experience do you have as a project engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Process Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years of Piping Design experience do you have?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as an AutoCAD Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu di Industri Manufaktur?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years experience in Chemical Manufacturing do you have?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","2"
"How many years' experience do you have as a sales engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Security Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"How many years' experience do you have as a Video Editor?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a civil engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years experience in Commercial Construction do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","0"
"How many years of experience do you have in the Engineering Industry?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a Construction Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu sebagai site engineer?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"Berapa tahun pengalaman kerjamu sebagai Staff Teknik Sipil?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"How many years' experience do you have in an Administration Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"Berapa tahun pengalaman kerjamu di industri TI?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"Berapa tahun pengalaman kerjamu sebagai manajer pengembangan bisnis?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"Produk Microsoft Office apa saja di bawah ini yang bisa kamu gunakan?","checklist","Publisher | Outlook | PowerPoint | OneNote | Access | Word | Excel | Tidak satupun","Tidak satupun"
"How many years' experience do you have as an AWS Solutions Architect?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"Berapa tahun pengalaman kerjamu sebagai surveyor kuantitas?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"Software CAD apa saja di bawah ini yang bisa kamu gunakan?","checklist","hsbCAD | Revit | MiTek | Pryda | SOLIDWORKS | ArchiCAD | AutoCAD | 12D | CADworks | Autodesk Revit MEP | Tidak satupun","Tidak satupun"
"Berapa tahun pengalaman kerjamu sebagai structural engineer?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as a Project Draftsperson?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have in the construction industry?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a Technical Support Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an Automation Design Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu sebagai electrical engineer?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as an Electrical and Instrumentation Designer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an AutoCAD Technician?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Maintenance Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an Electrical Tester?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as an Instrumentation and Control Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have in a Civil Construction Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Site Reliability Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Management Consultant?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Quantity Surveying Staff?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Cost Consultant?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have as a Presales Architect?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Cloud Architect?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a VMware Consultant?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","Less than 1 year"
"How many years' experience do you have in a Technical Support Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Cloud Solution Architect?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as an Oracle Database Administrator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a CAD Operator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as an AutoCAD Operator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Technical Solutions Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years experience in Technology Leadership do you have?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years of experience do you have in the Cybersecurity Industry?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a Project Management Office Project Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"Berapa tahun pengalaman kerjamu sebagai insinyur proyek?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"Berapa tahun pengalaman kerjamu sebagai insinyur sipil?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as a Civil Lead?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Do you own or have regular access to a personal vehicle?","checklist","Yes, a car | Yes, a motorcycle | No","Yes, a car"
"How many years' experience do you have as a Digital Analyst?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"Berapa lama pengalaman yang kamu miliki sebagai Project Manager?","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"How many years' experience do you have as a Marketing Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How much experience do you have in the following industry? - Oil & Energy","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"How many years' experience do you have as a Design Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Chief Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Fire Safety Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Data Centre Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a project manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"Berapa tahun pengalaman kerjamu sebagai Konsultan SAP?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a BIM Draftsperson?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Business to Business Business Development Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Structured Cabling Technician?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an applications engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Technical Sales Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu sebagai Staff Penjualan?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"How many years' experience do you have as a Security System Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"Seberapa mahir kamu dengan keahlian berikut ini? - Front-End Architecture","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Berapa tahun pengalaman kerjamu sebagai Asisten Engineer?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"Seberapa mahir kamu dengan keahlian berikut ini? - Micro frontend","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Berapa tahun pengalaman kerjamu sebagai pengembang ios?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"How many years' experience do you have as a Swift Developer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Digital Transformation Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"Berapa tahun pengalaman kerjamu di Industri FMCG?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"Seberapa mahir kamu dengan keahlian berikut ini? - XML","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Seberapa mahir kamu dengan keahlian berikut ini? - Jaringan Komputer","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"Seberapa mahir kamu dengan keahlian berikut ini? - Ruby on Rails","radiobutton","Tidak Berpengalaman | Dasar | Menengah | Ahli","Ahli"
"How many years' experience do you have as a Software Account Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Radio Network Optimization Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Apakah kamu pernah menyelesaikan sertifikasi kemahiran bahasa Inggris?","checklist","Ya, sertifikat International English Language Testing System (IELTS) | Ya, sertifikat Test of English as a Foreign Language (TOEFL) | Ya, sertifikat Test of English for International Communication (TOEIC) | Saya memiliki sertifikat kemahiran bahasa Inggris yang tidak ada dalam daftar | Saya tidak memiliki sertifikat kemahiran bahasa Inggris","Saya memiliki sertifikat kemahiran bahasa Inggris yang tidak ada dalam daftar"
"How many years' experience do you have as a Head of Analytics?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"How many years' experience do you have as a Power BI Analyst?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"Which of the following data analytics tools are you experienced with?","checklist","SAS | Statistica | Tableau | SPSS | RapidMiner | KNIME | Mathematica | R | SciPy | Excel | Matlab | Hadoop | SPSS Modeller (Clementine) | SQL | None of these","R || Excel || SQL"
"How many years' experience do you have in a Design Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"Berapa lama pengalaman yang kamu miliki sebagai QA Engineer?","radiobutton","Tidak Berpengalaman | <1 thn | 1 - 3 thn | 3 - 5 thn | 5 - 10 thn | 10+ thn","1 - 3 thn"
"Apakah anda familiar dengan Automation Testing?","text","","Yes"
"How many years' experience do you have as a Cost Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"Berapa tahun pengalaman kerjamu sebagai Petugas Quality Assurance?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"Berapa tahun pengalaman kerjamu sebagai Staf Internal Audit?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Kurang dari 1 tahun"
"How many years' experience do you have as a Senior Associate?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a mechanical engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an Infrastructure Security Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","2 years"
"Sertifikasi PMI mana saja di bawah ini yang sudah kamu selesaikan?","checklist","Project Management Professional (PMP) | Program Management Professional (PgMP) | Portfolio Management Professional (PfMP) | Certified Associate in Project Management (CAPM) | PMI Professional in Business Analysis (PMI-PBA) | PMI Agile Certified Practitioner (PMI-ACP) | PMI Risk Management Professional (PMI-RMP) | PMI Scheduling Professional (PMI-SP) | Tidak ada sertifikat","Project Management Professional (PMP)"
"How many years' experience do you have as a Managed Services Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Customer Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Mechanical and Electrical Coordinator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Builder?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have in a Security Operations Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Game Designer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu sebagai Supervisor Infrastruktur?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as a Production Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu sebagai Teknisi Listrik Arus Kuat?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"Berapa tahun pengalaman kerjamu di bidang estimasi biaya?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","1 tahun"
"Berapa tahun pengalaman kerjamu sebagai Teknisi Pembangkit Listrik Tenaga Surya?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"How many years' experience do you have as a Proposals Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu sebagai insinyur jaringan?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as a Head of Information Technology?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Commissioning Manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years of experience do you have in the Data Centre Industry?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a Data Centre Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as a Testing and Commissioning Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Chemical Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Water and Waste Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an Information Technology Security Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as an Information Technology Support Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a Microsoft 365 Administrator?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"How many years' experience do you have as an Information Technology Business Analyst?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have in a Quality Control Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"Berapa tahun pengalaman kerjamu sebagai Tenaga Ahli Teknik Sipil?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","Tidak ada pengalaman"
"How many years' experience do you have as a Product Design Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an Assembly Technician?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Production Technician?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu sebagai insinyur mesin?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as a Procurement Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Data Analytics Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an electrical engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as an operations manager?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","3 years"
"How many years' experience do you have as a High Voltage Electrical Specialist?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have as a Product Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"Berapa tahun pengalaman kerjamu di Industri konstruksi?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
"How many years' experience do you have as an AWS Data Engineer?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","1 year"
"How many years' experience do you have in an Engineering Role?","dropdown","No experience | Less than 1 year | 1 year | 2 years | 3 years | 4 years | 5 years | More than 5 years","No experience"
"Berapa tahun pengalaman kerjamu sebagai analis sistem?","dropdown","Tidak ada pengalaman | Kurang dari 1 tahun | 1 tahun | 2 tahun | 3 tahun | 4 tahun | 5 tahun | Lebih dari 5 tahun","3 tahun"
